Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Dimension,Mean,Error,StdDev,Gen 0,Gen 1,Gen 2,Allocated
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,5,21.09 μs,1.582 μs,0.411 μs,3.2959,1.0071,0.4883,10 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,10,39.16 μs,1.161 μs,0.180 μs,6.2866,1.8921,0.8545,19 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,25,95.02 μs,8.748 μs,1.354 μs,14.5264,4.2725,2.0752,44 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,50,179.47 μs,17.602 μs,2.724 μs,30.2734,9.0332,4.1504,87 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,100,369.24 μs,33.800 μs,5.231 μs,60.5469,17.0898,8.3008,174 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,150,543.03 μs,25.312 μs,6.574 μs,90.8203,26.3672,12.6953,264 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,250,889.02 μs,28.971 μs,4.483 μs,145.5078,43.9453,21.4844,429 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,300,"1,072.32 μs",55.781 μs,14.486 μs,179.6875,58.5938,27.3438,528 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,450,"1,660.53 μs",52.720 μs,8.159 μs,265.6250,83.9844,39.0625,775 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,500,"1,830.97 μs",67.877 μs,17.627 μs,294.9219,101.5625,50.7813,858 KB
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,1000,"3,929.48 μs",382.966 μs,99.455 μs,531.2500,156.2500,54.6875,"1,714 KB"
ComplexThreaded,Job-DRUPNS,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 5.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Throughput,16,5,1500,"6,137.38 μs",579.582 μs,150.516 μs,828.1250,304.6875,117.1875,"2,602 KB"
